label_cleaned,altLabels
manage musical staff,manage staff of music coordinate duties of musical staff manage music staff direct musical staff manage musical staff
supervise correctional procedures,oversee prison procedures manage correctional procedures monitor correctional procedures manage prison procedures monitor prison procedures supervise correctional procedures oversee correctional procedures
apply anti-oppressive practices,apply non-oppressive practices apply an anti-oppressive practice make use of anti-oppressive practices act in a non-oppressive way identify oppression in societies and groups apply anti-oppressive practices apply anti-oppresive practice use anti-oppressive practices
control compliance of railway vehicles regulations,monitoring of compliance with railway vehicles regulations monitoring of compliance with rolling stock regulations checking compliance with rolling stock regulations control compliance of regulations of rolling stock inspection of compliance with rolling stock regulations ensuring compliance with railway vehicles regulations compliance controls of railway vehicles regulations conduct controls of compliance of railway vehicles regulations control compliance of railway vehicles regulations control compliance of railway vehicle regulations
identify available services,establish available services identify available services determine rehabilitation services analyse rehabilitation services establish rehabilitation services determine available services analyse available services classify available services classify rehabilitation services
perform toxicological studies,perform toxicological studies apply toxicological testing methods perform toxicological tests perform toxicological study carry out toxicological studies
ensure coquille uniformity,making sure coquille is uniform ensure coquille uniformity ensure uniformity of coquille ensuring coquille uniformity checking that coquille is uniform ensuring uniformity of coquille ensuring coquille is uniform ensure coquille is uniform ensuring of coquille uniformity make sure coquille is uniform check that coquille is uniform
haskell,Haskell
show initiative,take the initiative give impetus be a driving force demonstrate sense of initiative initiate action show sense of initiative show active initiative
train staff to reduce food waste,teach students food waste reduction practices inform staff on food waste reduction practices educate workers on food recycling methods educate staff on food waste reduction
apply diplomatic principles,utilise diplomacy principles administer diplomacy principles use diplomatic principles implement diplomacy principles apply diplomatic principles utilise diplomatic principles implement diplomatic principles use diplomacy principles administer diplomatic principles
lead police investigations,supervise police investigations manage police enquiries supervise police enquiries oversee police investigations manage police investigations lead police investigations oversee police enquiries
handle fish harvesting waste,dispose of waste from fish harvesting fish harvesting waste handling handle fish harvesting waste fish harvesting waste disposing handling fish harvesting waste dispose of fish harvesting waste
develop energy saving concepts,developing concepts for energy saving developing energy saving concepts develop energy saving concepts develop concepts for energy saving create concepts for energy saving creating energy saving concepts energy saving concepts creating create energy saving concepts creating concepts for energy saving energy saving concepts developing
perform street interventions in social work,perform street interventions in social work do street interventions in social work perform street-intervention in social work perform street intervention in social-work perform street-intervention in social-work conduct outreach activites carry out street interventions in social work
work with soloists,collaborate with soloists working with soloists work with a soloist work with soloists communicate with solo artists
sport and exercise medicine,sports injury treatment sport and exercise medicine sports medicine exercise and sports medicine sports injury medicine sports and exercise medicine
conduct research on flora,carry out research on flora flora research conduct research on flora perform research on flora run research on flora research on flora
install heat pump,install heat pump installation of heat pumps commission heat pumps heat pump commissioning installing heat pump commissioning of heat pump commission heat pump heat pump installation commissioning heat pump commissioning heat pumps installing heat pumps installation of heat pump commissioning of heat pumps install heat pumps heat pump installing
design biomass installations,design biomass installation design biomass system
handle equipment while suspended,using climbing equipment equipment handling while suspended handling of equipment while suspended use climbing equipment while on a rope use climbing equipment using climbing equipment while on a rope handling equipment while suspended handle equipment while suspended
teach housekeeping skills,teach housekeeping skills teach house-keeping skills teach house keeping skills teach domestic science skills teach skills for housekeeping instruct on housekeeping skills train on housekeeping skills teach housekeeping skill
check train engines,check train engines check engines on trains meet regulations check locomotive engines check engines on locomotives ensure train engines comply with regulations ensure compliance of train engines with regulations perform train engine compliance activities check engines of trains ensure train engines meet regulatory requirements check train engines meet regulations check engines on trains ensure train engines comply with applicable regulations
influence public policies,lobbying for public policies
enterprise risk management,ERM
manufacture ingredients,manufacture ingredients ingredients manufacture assemble ingredients manufacture of ingredients produce ingredients construct ingredients manufacture of an ingredient fabricate ingredients
